PatientID	Country	State	City	ZIP	Address
249	USA	TX	Houston	77081	"500 W 4Th Street,4Th Floor"
250	USA	VT	Waterbury	5671	5314 Dashwood
251	USA	TX	Webster	77598	"280 State Drive,Nob 2 North"
252	USA	TX	Houston	77090	350 Blossom Street
253	USA	TX	Houston	77008	205 Hollow Tree Lane
254	USA	TX	Tomball	77375	"1800 West 26Th Street,Floors 3,4, & 5"
255	USA	TX	Edinburg	78539	505 Graham Drive
256	USA	TX	The Woodlands	77380	2655 Cornerstone Boulevard
257	USA	TX	Round Rock	78665	9128 Six Pines Drive
258	USA	TX	Fort Hood	76544	315 S Alameda St
259	USA	TX	Fort Sam Houston	78234	36000 Darnall Loop
260	USA	TX	Austin	78744	3551 Roger Brooke Dr
261	USA	TX	Corpus Christi	78411	7901 Metropolis Dr
262	USA	TX	Muleshoe	79347	3315 S Alameda St
263	USA	TX	Temple	76502	708 South First Street
264	USA	TX	Killeen	76549	1901 Southwest H. K. Dodgen Loop
265	USA	TX	Beeville	78102	2201 South Clear Creek Road
266	USA	TX	Harker Heights	76548	1500 East Houston Highway
267	USA	TX	Amarillo	79106	850 West Central Texas Expressway
268	USA	TX	San Antonio	78212	6010 Amarillo Blvd W
269	USA	TX	San Antonio	78232	718 Lexington Avenue
270	USA	TX	Weimar	78962	96 Hunters Glen Road
271	USA	TX	San Antonio	78232	400 Youens Drive
272	USA	TX	San Antonio	78207	10811 Town Center Drive
273	USA	TX	San Antonio	78229	333 North Santa Rosa Street
274	USA	TX	San Antonio	78209	2827 Babcock Road
275	USA	TX	San Antonio	78251	"403 Treeline Park,Building 1"
276	USA	TX	San Antonio	78205	11212 State Highway 151
277	USA	TX	San Antonio	78240	76 Hunters Glen Road
278	USA	TX	San Antonio	78205	8902 Floyd Curl Drive
279	USA	HI	Kahuku	96731	414 Navarro Street
280	USA	HI	Honolulu	96819	56-117  Pualalea St
281	USA	HI	Kapaau	96755	3288 Moanalua Rd
282	USA	HI	Kealakekua	96750	54-383  Hospital Rd
283	USA	HI	Honolulu	96817	79-1019  Haukapila St
284	USA	TX	Austin	78751	347 No Kuakini St
285	USA	TX	Abilene	79602	4110 Guadalupe Street
286	USA	TX	Austin	78731	4225 Woods Place
287	USA	TX	Austin	78705	3501 Mills Avenue
288	USA	TX	Arlington	76011	1025 East 32Nd Street
289	USA	TX	Belton	76513	1011 North Cooper Street
290	USA	TX	Big Spring	79720	3500 Ih 35 South
291	USA	TX	Conroe	78411	1901 North Highway 87
292	USA	TX	Corpus Christi	78414	"2006 South Loop 336 West,Suite 500"
293	USA	TX	De Soto	75115	6629 Wooldridge
294	USA	TX	Denton	76201	2000 North Old Hickory Trail
295	USA	TX	Denton	76208	2026 West University
296	USA	TX	El Paso	79905	2809 South Mayhill Road
297	USA	TX	El Paso	79902	4615 Alameda Avenue
298	USA	TX	Greenville	75402	1900 Denver Avenue
299	USA	TX	Harlingen	78551	301 East Division St.
300	USA	TX	Houston	77004	1401 South Rangerville Road
301	USA	TX	Houston	77021	3204 Ennis Street
302	USA	TX	Houston	77074	2800 South Macgregor Way
303	USA	TX	Houston	77090	6500 Hornwood Drive
304	USA	TX	Houston	77090	1120 Cypress Station
305	USA	TX	Houston	77054	17750 Cali Drive
306	USA	TX	Houston	77090	7601 Fannin Street
307	USA	TX	Houston	77080	17506 Red Oak Drive
308	USA	TX	Houston	77081	2801 Gessner Drive
309	USA	TX	Houston	77057	"5314 Dashwood,Suite 200 & 300"
310	USA	TX	Kerrville	78028	136 Hunters Glen Road
311	USA	TX	Kingwood	77339	721 Thompson Drive
312	USA	TX	League City	77573	2001 Ladbrook Drive
313	USA	TX	Lubbock	79408	1150 Devereux Drive
314	USA	TX	Plainview	79072	1950 Aspen Avenue
315	USA	TX	Plano	75093	"2601 Dimmit Road,Fourth Floor"
316	USA	TX	Rusk	75785	6110 West Parker Road
317	USA	TX	San Angelo	76901	805 North Dickinson Drive
318	USA	TX	San Antonio	78223	1636 Hunters Glen Road
319	USA	TX	San Antonio	78259	"6711 South New Braunfels,Suite 100"
320	USA	TX	San Antonio	78229	17720 Corporate Woods Drive
321	USA	TX	Sherman	75090	8535 Tom Slick Drive
322	USA	TX	Terrell	75160	1111 Gallagher Road
323	USA	TX	Vernon	76384	1200 East Brin Street
324	USA	TX	Waco	76702	4730 College Drive
325	USA	TX	Wichita Falls	76301	301 Londonderry Drive
326	USA	TX	Dallas	75228	1505 8Th Street
327	USA	TX	Austin	78745	4600 Samuell Boulevard
328	USA	TX	Carrollton	75010	1407 West Stassney Lane
329	USA	TX	De Soto	75115	2225 Parker Road
330	USA	TX	Longview	75605	800 Kirnwood Drive
331	USA	TX	Cypress	77429	615 Clinic Drive
332	USA	TX	Conroe	77301	16303 Grant Road
333	USA	TX	Midland	79706	700 Hilbig Road
334	USA	TX	Fort Worth	76123	3300 South Fm 1788
335	USA	NV	Las Vagas	89149	100 Billars Street
336	USA	TX	Lufkin	75902	6166 N Durango Drive
337	USA	TX	Arlington	76001	302 Globbers Knob Road
338	USA	TX	Bedford	76022	7000 Us Highway 287
339	USA	TX	Houston	77035	2717 Tibbets Drive
340	USA	TX	Killen	76549	12301 South Main Street
341	USA	TX	San Antonio	78229	900 Billars Street
342	USA	TX	San Antonio	78222	1975 Babcock Rd
343	USA	TX	College Station	77842	8550 Huebner Road
344	USA	TX	Harlingen	78550	3550 Normand Drive
345	USA	TX	Mckinney	75070	613 Victoria Lane
346	USA	TX	Plano	75093	130 South Central Expressway
347	USA	TX	Houston	77035	"4708 Alliance Boulevard,Third Floor"
348	USA	TX	Frisco	75034	5556 Gasmer
349	USA	TX	Garland	75042	5680 Frisco Square Boulevard
350	USA	TX	Garland	75042	"2300 Marie Curive Blvd,5Th Floor"
351	USA	TX	Richmond	77407	2696 W Walnut St
352	USA	TX	Sherman	75090	6902 S Peek Road
353	USA	TX	Katy	77450	2601 Cornerstone Drive
354	USA	VT	Berlin	5633	455 Park Grove Lane
355	USA	TX	Edinburg	78539	350 Fisher Road
356	USA	TX	Edinburg	78503	5510 Raphael Drive
357	USA	TX	Beaumont	77701	2102 West Trenton Road
358	USA	TX	Amarillo	79106	3250 Fannin
359	USA	TX	Tyler	75701	7201 Evans
360	USA	TX	Forth Worth	76104	4101 University Boulevard
361	USA	TX	Austin	78754	1000 St Louis Avenue
362	USA	TX	Austin	78745	8402 Cross Park Drive
363	USA	TX	Georgetown	78626	"1106 West Dittmar Road,Building 1 & 15"
364	USA	TX	Georgetown	78626	3101 S Austin Ave
365	USA	TX	Wichita Falls	76308	700 Southeast Inner Loop
366	USA	TX	Laredo	78041	6515 Kemp Boulevard
367	USA	HI	Kula	96790	"1500 Pappas,#664"
368	USA	HI	Lanai City	96763	100 Keokea Place
369	USA	HI	Honolulu	96816	628 7Th St
370	USA	HI	Wailuku	96793	3675 Kilauea Avenue
371	USA	HI	Kaunakakai	96748	221 Mahalani St
372	USA	HI	Honolulu	96826	280 Home Olu Pl
373	USA	HI	Kamuela	96743	1319 Punahou St
374	USA	HI	Aiea	96701	67-1125 Mamalahoa Hwy
375	USA	HI	Ewa Beach	96706	98-1079  Moanalua Rd
376	USA	HI	Honolulu	96813	91-2141  Fort Weaver Rd
377	USA	HI	Honolulu	96817	1301 Punchbowl Street
378	USA	HI	Kapaa	96746	226 No Kuakini St
379	USA	TX	Abilene	79606	4800 Kawaihau Rd
380	USA	TX	Allen	75013	6401 Directors Parkway
381	USA	TX	Arlington	76015	1001 Raintree Circle
382	USA	TX	Austin	78705	3200 Matlock Road
383	USA	TX	Austin	78701	1005 East 32Nd Street
384	USA	TX	Beaumont	77707	1215 Red River
385	USA	TX	Bedford	76021	3340 Plaza 10 Boulevard
386	USA	TX	Beaumont	77702	2304 State Highway 121
387	USA	TX	Amarillo	79106	"2830 Calder Street,6Th Floor South"
388	USA	TX	Brownsville	78526	7200 West 9Th Street
389	USA	TX	Bryan	77802	425 East Alton Gloor Boulevard
390	USA	TX	Conroe	77304	1600 Joseph Drive
391	USA	TX	Dallas	75237	18550 Interstate Highway 45 South
392	USA	TX	Dallas	75230	3020 West Wheatland Road
393	USA	TX	Denton	76201	7930 Northaven
394	USA	TX	El Paso	79936	2620 Scripture Street
395	USA	TX	Fort Worth	76102	1395 George Dieter Drive
396	USA	TX	Fort Worth	76132	1212 West Lancaster
397	USA	TX	Houston	77030	6701 Oakmont Boulevard
398	USA	TX	Humble	77338	1333 Moursund Street
399	USA	TX	Katy	77450	19002 Mckay Drive
400	USA	TX	Lubbock	79415	"21720 Kingsland Boulevard,#102"
401	USA	TX	Mesquite	75149	4302 Princeton Street
402	USA	TX	Midland	79707	1023 North Belt Line Road
403	USA	TX	Plano	75075	1800 Heritage Boulevard
404	USA	TX	Richardson	75080	2800 West 15Th Street
405	USA	TX	Round Rock	78681	3351 Waterview Parkway
406	USA	TX	San Antonio	78240	1400 Hester'S Crossing
407	USA	TX	San Antonio	78229	9119 Cinnamon Hill
408	USA	TX	San Antonio	78258	5101 Medical Drive
409	USA	TX	Shenandoah	77384	19126 Stonehue
410	USA	TX	Sherman	75092	117 Vision Park Boulevard
411	USA	TX	Sugar Land	77478	"1810 West Highway 82,Ste 100"
412	USA	TX	Texarkana	75501	1325 Highway 6
413	USA	TX	Texarkana	75504	515 West 12Th Street
414	USA	TX	Tyler	75701	2400 St Michael Drive
415	USA	TX	Tyler	75701	3131 Troup Highway
416	USA	TX	Webster	77598	701 Olympic Plaza Circle
417	USA	TX	Weslaco	78596	655 East Medical Center Boulevard
418	USA	TX	Wichita Falls	76302	906 South James Street
419	USA	TX	Dallas	75246	3901 Armory Road
420	USA	TX	Fort Worth	76132	909 N. Washington Avenue
421	USA	TX	Frisco	75034	6601 Harris Parkway
422	USA	TX	Flower Mound	75022	2990 Legacy Drive
423	USA	TX	Corpus Christi	78414	3100 Peters Colony Road
424	USA	TX	Plano	75093	5726 Esplanade Drvie
425	USA	TX	Dallas	75247	"2301 Marsh Lane,Suite 200"
426	USA	TX	Houston	77065	1340 Empire Central Drive
427	USA	TX	Humble	77338	13031 Wortham Center Drive
428	USA	TX	Austin	78704	18839 Mckay Boulevard
429	USA	TX	New Braunfels	78130	330 West Ben White
430	USA	TX	Houston	77070	2041 Sundance Parkway
431	USA	TX	Fort Worth	76104	20180 Chasewood Park Drive
432	USA	TX	Victoria	77904	425 Alabama Avenue
433	USA	TX	San Antonio	78247	101 James Coleman Drive
434	USA	TX	San Antonio	78251	14747 Jones Maltsberger Road
435	USA	TX	El Paso	79902	10323 State Hwy 151
436	USA	TX	Denison	75020	300 Waymore
437	USA	TX	Webster	77598	1200 Reba Mcentire Lane
438	USA	TX	Kyle	78640	110 East Medical Center Boulevard
439	USA	TX	Edinburg	78539	5980 Kyle Parkway
440	USA	TX	Nacogdoches	75961	5403 Doctors Drive
441	USA	TX	Weatherford	76086	707 Wood Street
442	USA	TX	Arlington	76015	703 Eureka St
443	USA	TX	Austin	78751	900 W Arbrook Blvd
444	USA	TX	Laredo	78041	700 West 45Th Street
445	USA	TX	Laredo	78041	2005 A Bustamente Street
446	USA	TX	Decatur	76234	230 Calle Del Norte
447	USA	TX	Amarillo	79124	2000 South Fm 51
448	USA	TX	Arlington	76012	6819 Plum Creek Drive
449	USA	TX	Austin	78731	800 W. Randol Mill  Rd.
450	USA	TX	Arlington	76017	6818 Austin Center Boulevard
451	USA	TX	Arlington	76015	801 West I-20
452	USA	TX	Beaumont	77707	707 Highlander Boulevard
453	USA	TX	Bellaire	77401	3650 Laurel Avenue
454	USA	TX	Denton	76208	411 First Street
455	USA	TX	El Paso	79902	2801 South Mahill Road
456	USA	TX	Fort Worth	76132	"1755 Curie,Suite A"
457	USA	TX	Houston	77030	5900 Dirks Road
458	USA	TX	Houston	77090	"1515 Holcombe Boulevard, Box 43"
459	USA	TX	Houston	77004	17080 Red Oak Drive
460	USA	TX	Houston	77030	5445 La Branch Street
461	USA	TX	Lubbock	79416	7401 South Main Street
462	USA	TX	Plano	75093	4810 North Loop 289
463	USA	TX	San Antonio	78240	1100 Allied Drive
464	USA	TX	San Antonio	78258	"9150 Huebner Road,Suite 100"
465	USA	TX	Tyler	75701	18600 North Hardy Oak Boulevard
466	USA	TX	Dallas	75231	1814 Roseland Boulevard
467	USA	TX	Dallas	75226	7115 Greenville Avenue
468	USA	TX	Lubbock	79401	621 N. Hall Street
469	USA	TX	Irving	75063	1409 9Th Street
470	USA	TX	San Antonio	78249	400 West Interstate 635
471	USA	TX	Mcallen	78503	5330 North Loop 1604 West
472	USA	TX	San Antonio	78229	1900 S D St
473	USA	TX	Temple	76504	8026 Floyd Curl Dr
474	USA	TX	Baytown	77521	1815 South 31St Street
475	USA	TX	Corpus Christi	78413	1455 Manor Dr
476	USA	TX	Amarillo	79106	7002 Williams Drive
477	USA	TX	Fort Worth	76177	7100 West 9Th Street
478	USA	TX	Austin	78681	3200 North Tarrant Parkway
479	USA	TX	Edinburg	78539	1201 W Louis Henna Blvd
480	USA	AZ	Tucson	85711	5502 South Mccoll
481	USA	AZ	Tucson	85712	355 North Wilmot
482	USA	AL	Bessemer	35021	2695 North Craycroft Road
483	USA	NV	Las Vegas	89102	995 Ninth Avenue Southwest
484	USA	AL	Eutaw	35462	1800 West Charleston Boulevard
485	USA	NV	Las Vegas	89109	509 Wilson Avenue
486	USA	AL	Decatur	35609	3247 S Maryland Parkway
487	USA	NV	Las Vegas	89103	4218 Hwy 31 S
488	USA	AL	Cullman	35055	5975 West Twain Avenue
489	USA	AL	Alabaster	35007	1912 Alabama Highway 157
